174321348,plain,maroon
59985899,floral,tan
155005009,OTHER,midnightblue
200545098,plain,darkgreen
197920093,stripes,black
197479611,OTHER,black
150944040,OTHER,darkslategray
192586709,plain,rosybrown
183978629,plain,black
31657047,floral,tan
197252670,ikat,black
136243487,plain,black
194377665,plain,gainsboro
197520600,plain,black
141528805,OTHER,lightgray
187998204,plain,darkslategray
198082184,OTHER,tan
167543947,plain,firebrick
193173165,OTHER,rosybrown
165016026,floral,lightslategray
190823363,plain,slategray
178276350,plain,gainsboro
149716255,squares,darkslategray
103547128,OTHER,darkslategray
166025161,plain,steelblue
188329973,plain,black
149675190,floral,gainsboro
107891166,plain,darkgray
168128994,plain,rosybrown
183486662,ikat,rosybrown
183315899,plain,darkslategray
178391393,floral,khaki
193512856,plain,saddlebrown
153236639,plain,antiquewhite
191987428,geometry,black
192401231,plain,gainsboro
39384815,plain,black
154380731,animal,maroon
188208671,floral,silver
192584864,OTHER,darkslategray
187976020,plain,maroon
183817288,floral,gray
187619920,plain,darkslategray
188977857,OTHER,darkgray
178652174,plain,wheat
37705277,floral,darkolivegreen
191376507,stripes,black
161470732,stripes,darkslategray
154084550,animal,dimgray
141732324,plain,darkgray
186080116,floral,darkred
183653238,plain,silver
185071690,plain,black
189038186,plain,gainsboro
187821381,plain,lightgray
191308693,geometry,darkslategray
190594961,plain,brown
188764240,plain,black
188317869,ikat,darkkhaki
191319458,floral,pink
176472207,OTHER,dimgray
181971980,OTHER,gray
176860067,plain,sienna
80600369,floral,wheat
183686455,plain,silver
185070584,plain,lightgray
182335861,plain,crimson
176705997,ikat,darkslategray
150304829,plain,black
78350238,floral,darkolivegreen
110489205,plain,cadetblue
183899878,plain,black
177430836,plain,silver
186025611,plain,saddlebrown
143939376,plain,gainsboro
161302177,floral,gainsboro
185246229,plain,black
180742272,plain,black
185695873,plain,black
58371838,plain,gray
158101705,ikat,black
184380638,OTHER,indianred
177563512,plain,gainsboro
143163739,floral,silver
136518939,plain,black
171224526,plain,black
43687252,plain,darkslategray
184629929,plain,darkslategray
176718791,plain,sienna
166172890,floral,tan
201357819,OTHER,saddlebrown
183725260,stripes,darkslategray
170074137,floral,wheat
178637563,plain,tan
175126161,plain,silver
181093933,plain,darkolivegreen
167992188,plain,sienna
110422021,floral,gainsboro
179925642,plain,black
102229689,floral,silver
66945001,squares,black
161445818,stripes,darkslategray
65330355,plain,indianred
174094694,stripes,darkslategray
152421153,plain,darkslategray
157081106,plain,silver
178674426,plain,sienna
148578465,plain,darkslategray
149636852,ikat,darkslategray
50416429,plain,gainsboro
170210661,plain,darkslategray
167674995,OTHER,black
178833217,plain,wheat
151071196,plain,sienna
114024672,plain,black
133869636,plain,lightgray
168978743,plain,cadetblue
111499199,plain,gainsboro
